slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
psyonic,PSYONIC,USA,Tools and Infrastructure,Assistive Technology; Machine Learning,2015,Series A,EMG,,,Rehabilitation,,FDA cleared (510k),"Developing the Ability Hand, an advanced multi-articulated bionic prosthetic with integrated fingertip touch sensing and sEMG control.","PSYONIC differentiates in the myoelectric prosthetics space through its sensorized fingertips that provide haptic feedback, addressing a key gap in conventional bionic hands that provide control but no sensation. Medicare coverage at no out-of-pocket cost is a significant commercial advantage, and its robotics supply agreements with Meta and Apptronik reflect strong hardware credibility beyond the medical device market.",https://www.psyonic.io/,https://www.neurofounders.co/startups/psyonic,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69d3967896d661c5499a3ccf_psyonicinc_logo.jpeg,coapt; phantom-neuro; brainco; morph-labs
pulsetto,Pulsetto,Lithuania,Consumer Neurotech,Wellness; Monitoring,2021,Seed,VNS,,,Wellness,,Non-medical,"Offering a consumer wearable transcutaneous vagus nerve stimulation device for stress reduction, improved sleep, and anxiety management through neck-based nerve stimulation.","Pulsetto sits in the growing consumer tVNS market targeting stress, sleep, and anxiety through neck-based vagus nerve stimulation. Its neck placement distinguishes it from auricular tVNS devices like Neuvana and Vagustim, though both approaches target the same physiological mechanism and compete for the same consumer audience.",https://uk.pulsetto.tech/pages/home-2,https://www.neurofounders.co/startups/pulsetto,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df868cb225eb82b936c50d_pulsetto_logo.jpg,neuvana; vagustim; apollo-neuro; sharper-sense
purple-gaze,Purple Gaze,Netherlands,Diagnostics and Assessment,Diagnostics; Pediatric,2019,Pre-seed,Biomarkers,,,General brain health,,Research only,Developing eye-tracking–based assessment software to support early screening and monitoring of neurodevelopmental conditions.,"Purple Gaze uses eye-tracking for early screening of neurodevelopmental conditions, placing it in the pediatric digital biomarker segment. It is a low-burden and scalable modality, though currently more research-oriented than clinically established.",http://purplegaze.io,https://www.neurofounders.co/startups/purple-gaze,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695152a0591fbab7ba36862e_purple_gaze_logo.jpeg,brainkey; optohive; great-lakes-neurotech; winterlight-labs; emteq-labs
qmenta,QMENTA,USA,Neuroimaging,Data Infrastructure; Clinical Workflows,2013,Seed,(f)MRI,,,Multi-indication,,FDA cleared (510k),"Empowering imaging teams with a cloud-native AI platform that automates MRI data upload, biomarker extraction, and centralized review for clinical trials.","QMENTA is a cloud-native imaging infrastructure company, helping clinical-trial teams centralize MRI upload, biomarker extraction, and review. Its role is best described as workflow and analytics infrastructure for imaging-heavy drug development rather than a standalone neurodiagnostics company.",http://www.qmenta.com/,https://www.neurofounders.co/startups/qmenta,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd662244db8ff963587a9_qmenta_inc_logo.jpeg,icometrix; machinemd; sevaro; cumulus-neuroscience; pixyl
quantalx-neuroscience,QuantalX Neuroscience,Israel,Neuroimaging,Diagnostics; Decision Support,2014,Series A,TMS,,,Multi-indication,,FDA cleared (510k),"Developing the Delphi-MD, a first-in-class TMS-EEG functional neuroimaging system for early detection and differential diagnosis of brain disorders at the point of care.","QuantalX is unusually well-positioned in functional neurodiagnostics, combining TMS and EEG to generate objective brain-network maps against a normative database — a methodology more akin to functional neuroimaging than standard EEG assessment. Its FDA De Novo authorization establishes a new device category, creating a potential regulatory moat, and Breakthrough Device designations for two indications accelerate its clinical credibility relative to comparably sized companies.",https://quantalx.com/,https://www.neurofounders.co/startups/quantalx-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69d39432e1c435bee2fb3acc_quantalx_neuroscience_ltd_logo.jpeg,cognision; brainscope; firefly-neuroscience; cercare-medical; ceribell
quantanosis,Quantanosis,United States,Tools and Infrastructure,Therapeutics; Experimental,2020,Seed,Ultrasound,,,Stroke,,Preclinical,Developing a portable robotic ultrasound platform for rapid stroke detection and non-invasive histotripsy-based clot disruption.,"Quantanosis sits at the intersection of neurovascular intervention, ultrasound therapy, robotics, and AI-guided stroke triage. Its positioning is differentiated by combining diagnostic transcranial Doppler with histotripsy-based clot disruption, while the platform remains before first-in-human clinical validation.",https://www.quantanosis.ai,https://www.neurofounders.co/startups/quantanosis,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e8b33b3e86743ce37f7f_neurofounders_icon_512.png,epia-neuro; cortec; forest-neurotech; navifus; carthera
qv-bioelectronics,QV Bioelectronics,UK,Neuromodulation,Therapeutics; Experimental,2018,Seed,Others,,,Tumors,,Preclinical,"Developing GRACE, an implantable electric field therapy (EFT) device for glioblastoma treatment, targeting tumor cells post-resection to slow recurrence and extend survival.","QV Bioelectronics is pursuing a highly differentiated oncology-neurotech strategy with an implantable electric field therapy device for glioblastoma. It sits at the intersection of neurosurgery, oncology, and bioelectronic medicine, with substantial upside if clinical effects translate.",http://www.qvbio.co.uk,https://www.neurofounders.co/startups/qv-bioelectronics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd67ac697f944137e5c49_qvbio_logo.jpeg,coherence-neuro; neurosoft-bioelectronics; wise; cordance-medical; inner-cosmos
qviti,QVITI,Poland,Neuromodulation,Therapeutics; AR/VR,2010,Unknown,tDCS/tES,,,Rehabilitation,,Other approval,Developing non-invasive neuromodulation systems that combine transcranial electrical stimulation with immersive VR/XR software to support neurorehabilitation workflows.,"QVITI combines tES with immersive XR environments for neurorehabilitation, positioning itself as a hybrid neuromodulation-plus-software workflow platform. This can make therapy more engaging, though it also puts the company in a crowded rehabilitation-tech landscape.",http://neurodevice.pl/en/,https://www.neurofounders.co/startups/qviti,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b538e66543b44a9da34bd_qviti_logo.jpeg,neuros-medical; kinesix-xr; brainco; cogitat
reach-neuro,Reach Neuro,USA,Neuromodulation,Assistive Technology; Therapeutics,2021,Seed,SCS,,,Stroke,,Investigational,Developing implantable spinal cord stimulation systems (Avantis) that restore voluntary upper-limb movement in chronic stroke survivors.,"Reach Neuro is developing implantable spinal cord stimulation systems specifically for upper-limb recovery after stroke, placing it in the restorative neurorehabilitation category. Its indication focus is distinctive, though proving durable motor benefit will be essential.",http://www.reachneuro.com/,https://www.neurofounders.co/startups/reach-neuro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd6e25e17e97f5eaedea7_reach_neuro_logo.jpeg,precision-neuroscience; sensome; brain-q; cionic; cogitat
resolve-stroke,Resolve Stroke,France,Neuroimaging,Monitoring; Decision Support,2022,Seed,Ultrasound,,,Stroke,,Investigational,Developing software-based ultrasound neuroimaging systems to extract advanced brain biomarkers from raw ultrasound data for bedside monitoring.,"Resolve Stroke uses software to derive advanced brain biomarkers from raw ultrasound data, targeting bedside monitoring in acute stroke. This is a technically interesting attempt to extract more value from an underused modality, though still early relative to established stroke imaging workflows.",https://www.resolvestroke.com/,https://www.neurofounders.co/startups/resolve-stroke,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951530b10be1b4af3ab2d4e_resolvestroke_logo.jpeg,emvision; neuro42; brainomix; cercare-medical; cerebriu
retispec,RetiSpec,Canada,Diagnostics and Assessment,Diagnostics; Aging,2016,Series A,Biomarkers,,,Dementia/impairment,,Research only,Developing retinal imaging and AI software to detect neurodegenerative disease by analyzing biomarkers in the eye.,"RetiSpec is positioned around retinal imaging as a window into neurodegeneration, using AI to identify biomarkers associated with Alzheimer’s and related diseases. Its non-invasive and ophthalmology-compatible approach is attractive, though still research-oriented.",http://retispec.ai,https://www.neurofounders.co/startups/retispec,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951533bb80b137790131a2c_1631316297226.jpeg,braintrip; altoida; neurowyzr; winterlight-labs; viewmind
revision-implant,ReVision Implant,Belgium,Brain-Computer Interface,Assistive Technology; Experimental,2020,Series A,Visual prosthesis,,,Vision,,Preclinical,Developing an implantable cortical visual prosthesis that converts camera input into patterned stimulation of the visual cortex to restore functional vision.,"ReVision Implant is developing a cortical visual prosthesis for vision restoration, placing it in a small but high-impact category of assistive neurotechnology. Its implantable approach offers potentially stronger performance than external aids, but with all the complexity of invasive translation.",https://revision-implant.com/,https://www.neurofounders.co/startups/revision-implant,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b561d87c0f584310c2052_revision_implant_nv_logo.jpeg,science-corp; axorus; neuroxess; paradromics; phantom-neuro
rhovica-neuroimaging,Rhovica Neuroimaging,Switzerland,Tools and Infrastructure,Clinical Workflows; Monitoring,2023,Seed,Others,,,Other,,Preclinical,Developing a bedside neurosurgical navigation system for safer EVD catheter placement in patients with elevated intracranial pressure.,"Rhovica Neuroimaging sits in emergency neurosurgical navigation, with SoNav focused on bedside EVD catheter placement for acute intracranial pressure management. Its positioning is notable because it addresses a specific high-pressure workflow where speed, placement accuracy, and access to navigation infrastructure are closely linked.",https://rhovica.com,https://www.neurofounders.co/startups/rhovica-neuroimaging,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d5e1478861f4699792bc9_rhovica_neuroimaging_ag_logo.jpeg,panda-surgical; zeta-surgical; artiria-medical; clee-medical; resolve-stroke
rune-labs,Rune Labs,USA,Diagnostics and Assessment,Monitoring; Clinical Workflows,2018,Series B,Biomarkers,,,Parkinson's,,FDA cleared (510k),Providing a cloud-based AI platform (StrivePD) that transforms smartphone and wearable neurology data into actionable insights for precision neurology.,"Rune Labs is one of the more commercially grounded digital neurology platforms, integrating wearable and smartphone data into actionable insights for movement disorder management. Its FDA-cleared status and partnerships make it a serious clinical-infrastructure company in precision neurology.",http://runelabs.io/,https://www.neurofounders.co/startups/rune-labs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/696618b7fdb7952125f1c6d9_rune.jpg,empatica; great-lakes-neurotech; neuralight; machine-medicine; kneu-health
ruten-inc,Ruten Inc,USA,Brain-Computer Interface,Assistive Technology; Experimental,2016,Seed,Intracortical,,,Paralysis/motor,,Preclinical,"Develops invasive brain-machine interface systems for reconstructive therapy, aiming to restore neural control in conditions unresponsive to conventional options.","Ruten is developing invasive BMI systems for reconstructive therapy, targeting severe conditions where conventional options are limited. It remains early and relatively opaque, making it difficult to distinguish from other preclinical invasive BCI companies on public information alone.",https://www.ruten-neuro.com/,https://www.neurofounders.co/startups/ruten-inc,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd72196250d904338f230_ruten_inc_logo.jpeg,neuralink; blackrock-neurotech; manava-plus; neurinnov; synchron
sabi,Sabi,USA,Consumer Neurotech,Experimental; Assistive Technology,2023,Seed,EEG,,,Wellness,,Non-medical,Developing a non-invasive EEG cap that aims to translate internal speech and mental commands into computer input.,"Sabi sits in the consumer BCI segment, with its core bet centered on high-density non-invasive EEG and imagined-speech decoding as an input layer for everyday computing. Its positioning is differentiated by the ambition to move EEG from passive state monitoring toward active command generation, placing it closer to interface infrastructure than conventional consumer neurofeedback.",https://sabi.com,https://www.neurofounders.co/startups/sabi,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a85f73b4b38ea52365adaeb_sabi.png,synaptrix-labs; paradromics; synchron; precision-neuroscience; g-tec
saluda-medical,Saluda Medical,Australia,Neuromodulation,Closed-loop; Therapeutics,2011,Public,SCS,,,Pain/migraine,,FDA approved (PMA),"Developing the Evoke System, the first FDA-approved closed-loop spinal cord stimulation system using evoked compound action potentials (ECAPs) to automatically adapt therapy in real time.","Saluda Medical is one of the most clinically advanced closed-loop SCS companies, with the only FDA-approved ECAP-controlled spinal cord stimulation system and the most rigorous RCT evidence base in SCS history. Its objective neurophysiological therapy control represents a paradigm shift relative to conventional programmer-adjusted or patient-adjusted SCS, and its commercial rollout will pressure established SCS incumbents to develop competing closed-loop capabilities.",https://www.saludamedical.com/international/,https://www.neurofounders.co/startups/saluda-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df751fb547ac9ba2bd9ef8_saluda_medical_logo.jpg,presidio-medical; spinally; mainstay-medical; neuropace; nalu-medical
salvia-bioelectronics,Salvia BioElectronics,Netherlands,Neuromodulation,Therapeutics; Clinical Workflows,2017,Series B,Nerve stimulator,,,Pain/migraine,,Investigational,Developing an implantable neuromodulation system to treat chronic migraine by modulating neural pathways involved in pain processing.,"Salvia BioElectronics is one of the more visible migraine neuromodulation startups, using implantable systems to modulate headache-related pathways. Its positioning is attractive because migraine is a large market with poor options for many patients, though it remains investigational.",https://www.salviabioelectronics.com,https://www.neurofounders.co/startups/salvia-bioelectronics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69515391df16e44e29a7b0cf_salviabioelectronics_logo.jpeg,neuronoff; nalu-medical; capri-medical; neuros-medical; theranica
samphire-neuroscience,Samphire Neuroscience,UK,Neuromodulation,Therapeutics; Experimental,2021,Seed,tDCS/tES,,,Women's health,,CE-Marked,"Pioneering a wearable brain-first neurotechnology, Nettle, that provides non-hormonal brain stimulation to reduce menstrual pain, low mood, and brain fog.","Samphire Neuroscience is differentiated by applying non-hormonal brain stimulation to women’s health symptoms such as menstrual pain, low mood, and brain fog. The indication choice is commercially interesting because it opens a relatively under-addressed segment of consumer-adjacent clinical neurotechnology.",http://www.samphireneuro.com,https://www.neurofounders.co/startups/samphire-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd771261946d4df8b771b_samphireneuro_logo.jpeg,neuraura; amber-therapeutics; neuroelectrics; mave-health; marbles-health
sana-health,Sana Health,USA,Neuromodulation,Therapeutics; Monitoring,2015,Series A,Light/sound,,,Pain/migraine,,Other approval,"Delivering a wearable audiovisual neuromodulation mask that uses light and sound pulses via HRV feedback to reduce chronic pain, improve sleep, and ease anxiety.","Sana Health sits in the audiovisual neuromodulation segment, combining light and sound with feedback-driven personalization for pain, sleep, and anxiety. It overlaps with wellness-style neuromodulation but appears to be pushing toward stronger clinical use cases.",http://www.sana.io,https://www.neurofounders.co/startups/sana-health,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd78ba011755a86ac93ca_sana_health_logo.jpeg,cefaly; neuros-medical; theranica; gestala; nalu-medical
sanmai,Sanmai,USA,Neuromodulation,Therapeutics; Machine Learning,2020,Series A,Ultrasound,,,Psychiatry,,Investigational,Developing a non-invasive tFUS neuromodulation platform for mental health treatment using AI-enabled acoustic targeting software.,"Sanmai sits in the focused ultrasound neuromodulation segment, with Lotus positioned around AI-supported acoustic targeting for psychiatric and neurological indications. Its strategic relevance comes from applying tFUS to mental health, where the established non-invasive stimulation landscape is still largely shaped by TMS and electrical stimulation.",https://sanmai.tech,https://www.neurofounders.co/startups/sanmai,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d5af436cfaf06c1e3cba8_1750786857504.jpeg,attune-neurosciences; openwater; forest-neurotech; merge-labs; sonomind
science-corp,Science Corp,USA,Brain-Computer Interface,Assistive Technology; Experimental,2021,Series C+,Visual prosthesis,,,Vision,,CE-Marked,Developing optogenetic visual prostheses that use microLED arrays to restore sight by stimulating retinal neurons with patterned light.,"Science Corp is one of the more serious visual prosthesis companies, using optogenetics and microLED arrays to stimulate retinal circuits with high precision. Its technical ambition is substantial, and it sits closer to advanced translational neuroengineering than to conventional medtech.",http://www.science.xyz,https://www.neurofounders.co/startups/science-corp,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd7acaaec73f4e8ea2283_sciencecorporation_logo%20(2).jpeg,axorus; revision-implant; neuralink; ability-neurotech; cortec
secondwave-systems,SecondWave Systems,USA,Neuromodulation,Therapeutics; Experimental,2019,Series A,Ultrasound,,,Multi-indication,,Investigational,"Developing a wearable, non-invasive low-intensity focused ultrasound platform targeting the splenic nerve and autonomic neural pathways for treatment of chronic inflammatory diseases.","SecondWave Systems occupies a distinctive position in the bioelectronic medicine space by applying wearable, non-invasive focused ultrasound to anti-inflammatory neural pathways — a modality and delivery method that differs from both implantable VNS devices and conventional transcutaneous neuromodulation. Its government funding base and JLABS membership suggest early institutional validation, though clinical proof of durable anti-inflammatory efficacy will be required before it can challenge pharmacological biologics.",https://www.secondwaveus.com/,https://www.neurofounders.co/startups/secondwave-systems,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df69cd8d330c22c3be6df4_1630571105659.jpeg,surf-therapeutics; iota-biosciences; neuspera; grey-matter-neurosciences
sens-ai,Sens.ai,Canada,Consumer Neurotech,Wellness; Monitoring,2018,Seed,EEG,,,General brain health,,Non-medical,"Offering an at-home neurofeedback headset combining EEG, transcranial photobiomodulation, and HRV biofeedback for personalized brain training.","Sens.ai combines EEG neurofeedback, photobiomodulation, and HRV in an at-home headset, positioning itself as a premium brain-training platform. Its broad multimodal stack is commercially appealing but risks feeling more wellness-aggregated than mechanistically focused.",http://www.sens.ai,https://www.neurofounders.co/startups/sens-ai,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd7c47403e2c15e78c147_sensai_inc_logo.jpeg,neurosity; neuronic; muse; vielight; brainbit
sensars,Sensars,USA,Neuromodulation,Assistive Technology; Therapeutics,2014,Pre-seed,Nerve stimulator,,,Other,,Investigational,"Developing an implantable peripheral nerve stimulation system (SENSY) that provides sensory feedback to amputees, allowing them to feel their prosthetic limbs.","Sensars is developing implantable peripheral nerve stimulation systems that restore sensory feedback in amputees, addressing a critical limitation of conventional prosthetics. This sensory-loop focus gives it a strong rehabilitative rationale, though it remains early-stage.",https://www.sensars.com/,https://www.neurofounders.co/startups/sensars,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5c9eb67be9c0b00d0de1_sensars_sarl_logo.jpeg,neuspera; cranius-therapeutics; nia-therapeutics; wise
sense-neuro-diagnostics,Sense Neuro Diagnostics,USA,Diagnostics and Assessment,Diagnostics; Decision Support,2017,Series B,Others,,,Stroke,,Investigational,Developing a non-invasive neurodiagnostic system to objectively assess concussion and brain injury using advanced brain signal analysis.,"Sense Neuro Diagnostics targets objective concussion and brain-injury assessment through non-invasive signal analysis, sitting in the same broad problem area as BrainScope and Oculogica. Its key challenge is differentiating sufficiently against more established players with stronger regulatory positions.",http://www.senseneuro.com,https://www.neurofounders.co/startups/sense-neuro-diagnostics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695154044be1cfd61783ab2f_sense_diagnostics_logo.jpeg,emvision; artiria-medical; brainscope; ceribell; cogitat
senseye,Senseye,USA,Diagnostics and Assessment,Diagnostics; Decision Support,2015,Series B,Biomarkers,,,Psychiatry,,Investigational,Developing eye-tracking–based neurodiagnostic software to objectively assess brain function and support early detection of neurological disorders.,"Senseye uses eye-tracking-based neurodiagnostics to assess brain function and detect early neurological dysfunction, making it part of the broader ocular biomarker trend. Its software-only model is scalable, though clinical traction depends on integration into existing assessment pathways.",http://www.senseye.co,https://www.neurofounders.co/startups/senseye,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951542a795e71a332beb812_senseye_inc__logo.jpeg,eysz; thymia; graymatters-health
sensome,Sensome,France,Tools and Infrastructure,Decision Support; Clinical Workflows,2014,Series B,Endovascular,,,Stroke,,Investigational,"Developing Clotild, a smart guidewire using impedance-based microsensors and AI to characterize vascular tissue and aid intraoperative decision-making in stroke treatment.","Sensome occupies a highly specific and differentiated procedural niche with its sensorized guidewire for stroke intervention, adding tissue characterization to endovascular navigation. This intraoperative intelligence layer could be valuable in thrombectomy workflows if it proves reliable and easy to integrate.",https://www.sensome.com/,https://www.neurofounders.co/startups/sensome,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd7dd5131884378a526fc_1631424300737.jpeg,synchron; clee-medical; sense-neuro-diagnostics; resolve-stroke; reach-neuro
setpoint-medical,SetPoint Medical,USA,Neuromodulation,Therapeutics; Clinical Workflows,2006,Series C+,VNS,,,Other,,FDA approved (PMA),Developing an implantable vagus nerve stimulation system for rheumatoid arthritis through neuroimmune modulation of inflammatory pathways.,"SetPoint Medical sits in one of the more clinically advanced areas of bioelectronic medicine, using implantable VNS to modulate inflammatory pathways in rheumatoid arthritis. Its positioning is notable because it places neuromodulation inside immune-mediated disease, expanding the category beyond conventional neurological applications.",https://setpointmedical.com,https://www.neurofounders.co/startups/setpoint-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d5b5ea6abfa80d803a8d6_setpoint_medical_logo.jpeg,neuspera; electrocore; stimvia; synergia-medical; pulsetto
sevaro,Sevaro,USA,Tools and Infrastructure,Decision Support; Clinical Workflows,2019,Series B,Software,,,Multi-indication,,Other approval,"Delivering virtual neurology services and tele-neurology programs to provide rapid, specialized neurological care to hospitals.","Sevaro is best understood as tele-neurology workflow infrastructure, delivering specialist care access rather than novel sensing or therapeutic technology. It is neuro-enabled healthcare services more than a core neurotech platform",https://sevaro.com/,https://www.neurofounders.co/startups/sevaro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695154e65f5c2b63de6b4f98_sevaro_logo.jpeg,icometrix; bios-health; imeka; neurophet; neuroventis
sharper-sense,Sharper Sense,USA,Consumer Neurotech,Experimental; Wellness,2020,Seed,VNS,,,Wellness,,Non-medical,"Developing a wearable, non-invasive neck patch that stimulates sensory-enhancing neural circuits to improve hearing, vision, and touch in real-time.","Sharper Sense is developing a wearable sensory-enhancement patch aimed at boosting hearing, vision, and touch via neural stimulation. The broad enhancement narrative is attention-grabbing, but the company remains early and more consumer-speculative than clinically grounded.",http://www.SharperSense.com,https://www.neurofounders.co/startups/sharper-sense,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd7f865ed16ae45c9998f_sharpersense_logo.jpeg,vagustim; temple; neuvana; earable-neuroscience; neurosity
shiratronics,ShiraTronics,USA,Neuromodulation,Therapeutics; Experimental,2018,Series B,Nerve stimulator,,,Pain/migraine,,Investigational,Developing a fully implantable peripheral nerve stimulation system for treatment-resistant chronic migraine through continuous targeted head-based neuromodulation.,"ShiraTronics sits in the implantable migraine neuromodulation segment, with a fully implanted peripheral nerve stimulation system for treatment-resistant chronic migraine. Its positioning is differentiated by a focused headache indication and a continuous stimulation model designed for patients with high treatment burden.",https://shiratronics.com,https://www.neurofounders.co/startups/shiratronics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d5be836cfaf06c1e45449_shiratronics_inc_logo.jpeg,salvia-bioelectronics; theranica; electrocore; cefaly; neurolief
sinaptica-therapeutics,Sinaptica Therapeutics,USA,Neuromodulation,Aging; Therapeutics,2021,Series A,TMS,,,Dementia/impairment,,Investigational,"Delivers personalized, closed-loop rTMS-EEG neuromodulation (SinaptiStim) targeting the default mode network to slow Alzheimer's progression with Phase 2 clinical efficacy.","Sinaptica Therapeutics is one of the stronger emerging companies in dementia neuromodulation, using closed-loop rTMS-EEG to target default mode network dysfunction with growing clinical evidence. Its network-guided approach is more sophisticated than fixed-protocol stimulation systems, giving it a credible precision-therapy angle.",http://www.sinapticatx.com,https://www.neurofounders.co/startups/sinaptica-therapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd81352f8b0cdb36de739_1666187643912.jpeg,magnus-medical; bottneuro; ampa-health; wave-neuroscience; neuroem-therapeutics
somareality,Somareality,Austria,Diagnostics and Assessment,Monitoring,2020,Seed,Biomarkers,,,Research,,Research only,Developing eye-tracking–based algorithms to extract neural signals and monitor cognitive processes in real time.,"SOMAREALITY uses eye-tracking algorithms to infer cognitive processes in real time, placing it in the machine-learning-based digital biomarker category. It appears closer to research and experimental analytics than a defined clinical product company.",http://somareality.com,https://www.neurofounders.co/startups/somareality,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695155604be1cfd61783cdee_somareality_logo.jpeg,zander-labs; nimbus; arctop; netholabs; purple-gaze
somnee,Somnee,USA,Consumer Neurotech,Wellness; Monitoring,2017,Seed,tDCS/tES,,,Sleep,,Non-medical,"Developing a personalized, non-invasive neuromodulation system to improve sleep quality through targeted brain stimulation.","Somnee sits in the sleep-focused consumer neuromodulation category, offering personalized stimulation intended to improve sleep quality. It differentiates through personalization, though it remains non-medical and competes in a crowded sleep-optimization market.",http://somneesleep.com,https://www.neurofounders.co/startups/somnee,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695155e28bbb068588e9afa0_somnee_logo.jpeg,earable-neuroscience; naox-technologies; nextsense; neurovalens; prophetic
sona,SONA,UK,Consumer Neurotech,Closed-loop; Wellness,2019,Pre-seed,VNS,,,Wellness,,Non-medical,"Developing an adaptive taVNS wearable that combines vagus nerve stimulation, biometric sensing, and audio-guided sessions for stress and recovery.","SONA sits in the consumer neuromodulation segment, using taVNS as an active wellness intervention for stress, recovery, sleep, and performance. Its positioning is differentiated by combining ear-based stimulation, biometric feedback, and app-guided sessions in a familiar wearable format.",https://sona.help,https://www.neurofounders.co/startups/sona,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d498be7ca303f7f577a23_mindspireuk_logo.jpeg,apollo-neuro; brainpatch; brnlit-ai; halo-neuroscience; neuvana
sond,SOND,United States,Consumer Neurotech,Monitoring; Closed-loop,2022,Seed,Others,,,Sleep,,Non-medical,Developing intelligent sleep earbuds that use real-time biometric sensing and adaptive audio to support consumer sleep improvement.,"SOND sits in the consumer sleep neurotechnology segment, with an earbud form factor that combines sleep tracking, biometric feedback, and adaptive audio into an active intervention loop. Its positioning is commercially early and consumer-wellness oriented, with the main strategic distinction coming from closed-loop audio delivery through a familiar in-ear device.",https://sond.com,https://www.neurofounders.co/startups/sond,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d2b18d1be1e4e35398dfe_sondsleep_logo.jpeg,bia-neuroscience; nextsense; somnee; muse; idun-technologies
sonomind,SonoMind,France,Neuromodulation,Experimental; Therapeutics,2024,Series A,Ultrasound,,,Psychiatry,,Investigational,Developing non-invasive focused ultrasound neuromodulation to precisely stimulate deep brain regions for the treatment of drug-resistant depression.,"SonoMind is developing non-invasive focused ultrasound neuromodulation for depression, placing it in one of the more technically exciting next-generation stimulation categories. It remains early, but the modality offers a potential depth-and-precision advantage over electrical or magnetic stimulation.",https://www.sonomind.com/,https://www.neurofounders.co/startups/sonomind,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951562f1fac44e8c71b8081_1736270332531.jpeg,sooma-medical; magnus-medical; neurosigma; merge-labs; iconeus
sononeu,SonoNeu,United States,Neuromodulation,Therapeutics; Experimental,2026,Non-dilutive,Ultrasound,,,Pain/migraine,,Preclinical,Developing sonogenetic therapies that use ultrasound to control engineered ultrasound-responsive cells for peripheral neuropathy and related indications.,"SonoNeu sits at the edge of ultrasound neuromodulation and engineered-cell therapeutics, with sonogenetics as its core technical layer. Its current position is preclinical and consortium-led, with ARPA-H backing and translation dependent on both biological delivery and ultrasound-device development.",https://www.sononeu.com,https://www.neurofounders.co/startups/sononeu,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e71a8977a0b05d5b8cbe_sono_neu_logo.jpeg,attune-neurosciences; therasonic; navifus; sonomind; carthera
